,Country,Activity,Age,Fatal (Y/N),Age Group,Top Species,Arm Pts,Leg Pts,Body Pts,Head Pts,Total Pts
114,USA,Kayaking ,20,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
115,USA,Swimming,7,N,Child,bull shark,0.0,0.0,0.0,0.0,0.0
116,SOUTH AFRICA,Surfing,20,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
117,USA,Swimming,14,N,Teenager,tiger shark,0.0,20.0,0.0,0.0,20.0
118,USA,Swimming,22,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
119,AUSTRALIA,Fell into the water,29,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
120,AUSTRALIA,Teasing a shark,10,N,Child,nurse shark,10.0,0.0,0.0,0.0,10.0
121,AUSTRALIA,Surfing,35,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
122,AUSTRALIA,Swimming,63,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
123,NEW CALEDONIA,Snorkeling,37,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
124,SOUTH AFRICA,Surfing,19,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
125,USA,Boogie boarding,29,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
126,AUSTRALIA,Body boarding,19,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
127,AUSTRALIA,Surfing,35,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
128,USA,Surfing,25,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
129,USA,Kiteboarding,46,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
130,REUNION,Body boarding,24,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
131,USA,Surfing,25,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
132,USA,Wading,6,N,Child,nurse shark,0.0,20.0,0.0,0.0,20.0
133,SOUTH AFRICA,Swimming / snorkeling,74,Y,Senior,white shark,0.0,0.0,0.0,0.0,0.0
134,AUSTRALIA,Diving for Abalone,55,N,Adult,white shark,0.0,0.0,0.0,100.0,100.0
135,USA,Surfing,45,N,Adult,white shark,0.0,20.0,0.0,0.0,20.0
136,USA,Wading,12,N,Child,bull shark,10.0,0.0,0.0,100.0,110.0
137,USA,Swimming,21,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
138,USA,,3,N,Child,nurse shark,10.0,0.0,0.0,0.0,10.0
139,USA,Snorkeling,20,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
140,USA,Surfing,10,N,Child,bull shark,0.0,0.0,0.0,0.0,0.0
141,USA,Fishing,17,N,Teenager,bull shark,0.0,20.0,0.0,0.0,20.0
142,USA,Surfing,18,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
143,BAHAMAS,Cleaning fish,64,N,Adult,nurse shark,10.0,0.0,0.0,0.0,10.0
144,USA,Swimming,28,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
145,USA,Diving,32,N,Adult,galapagos shark,10.0,0.0,0.0,0.0,10.0
146,ECUADOR,Surfing,29,N,Adult,galapagos shark,0.0,0.0,0.0,0.0,0.0
147,REUNION,Body boarding,36,Y,Adult,bull shark,0.0,0.0,0.0,0.0,0.0
148,MEXICO,Swimming,34,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
149,AUSTRALIA,Fishing,51,N,Adult,nurse shark,0.0,20.0,0.0,0.0,20.0
150,USA,Surfing,21,N,Adult,bull shark,10.0,0.0,0.0,0.0,10.0
151,JAMAICA,Spearfishing,68,Y,Senior,tiger shark,0.0,0.0,0.0,0.0,0.0
152,NEW ZEALAND,Swimming,46,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
153,USA,Surfing,43,N,Adult,tiger shark,10.0,0.0,0.0,100.0,110.0
154,AUSTRALIA,Paddle boarding,29,N,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
155,SOUTH AFRICA,Swimming,20,Y,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
156,AUSTRALIA,Surfing,32,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
157,AUSTRALIA,Spearfishing,31,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
158,USA,Snorkeling,61,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
159,USA,Diving,30,N,Adult,tiger shark,0.0,20.0,0.0,0.0,20.0
160,USA,Surfing,43,N,Adult,tiger shark,0.0,0.0,0.0,0.0,0.0
161,USA,Surfing,25,N,Adult,white shark,0.0,0.0,0.0,0.0,0.0
162,USA,Swimming,51,N,Adult,tiger shark,10.0,20.0,0.0,0.0,30.0
163,USA,Surfing,39,Y,Adult,white shark,0.0,0.0,0.0,0.0,0.0
164,TONGA,Swimming,29,N,Adult,bull shark,0.0,20.0,0.0,0.0,20.0
165,REUNION,Surfing,39,N,Adult,bull shark,10.0,20.0,0.0,0.0,30.0
166,AUSTRALIA,Surfing,48,N,Adult,white shark,10.0,0.0,0.0,0.0,10.0
